,#,Country,Flag,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg
75,76,Jordan,,513,58,11.31,1545,0,3,13,0,2,4,33
76,77,Kenya,,501,82,16.37,1376,0,0,3,0,0,6,29
77,78,Libya,,501,6,1.2,1706,0,0,8,0,0,2,37
78,79,Kyrgyzstan,,468,84,17.95,1509,0,7,3,0,1,2,28
79,80,New Zealand,,461,52,11.28,1716,1,6,22,0,3,5,41
80,81,SCOTLAND,,440,30,6.82,1818,7,9,21,0,0,6,47
81,82,Tunisia,,439,45,10.25,1621,2,6,10,0,1,6,34
82,83,Paraguay,,436,45,10.32,1524,4,4,14,0,2,1,33
83,84,Estonia,,436,96,22.02,1742,6,15,13,1,5,10,35
84,85,Montenegro,,429,36,8.39,1872,6,15,33,0,2,2,47
85,86,Angola,,371,48,12.94,1636,0,10,9,0,2,3,30
86,87,Macedonia,,363,29,7.99,1542,10,10,22,0,1,4,41
87,88,Botswana,,360,93,25.83,1524,0,1,5,1,4,4,23
88,89,WALES,,359,39,10.86,1815,1,5,13,0,0,3,49
89,90,United Arab Emirates,,343,104,30.32,1479,2,6,16,0,4,7,22
90,91,Thailand,,334,67,20.06,1528,0,0,9,0,0,3,29
91,92,Luxembourg,,315,19,6.03,1774,0,4,7,2,2,1,47
92,93,Madagascar,,305,28,9.18,1574,0,2,3,0,0,3,33
93,94,Syria,,299,24,8.03,1834,0,5,13,0,1,1,40
94,95,Morocco,,298,28,9.4,1759,1,6,9,0,2,3,37
95,96,Nigeria,,295,36,12.2,1899,0,7,16,0,0,5,37
96,97,Zimbabwe,,287,66,23,1617,0,4,0,0,0,0,25
97,98,Puerto Rico,,285,29,10.18,1600,0,3,8,0,1,3,35
98,99,Hong Kong,,281,24,8.54,1480,0,0,9,0,0,1,27
99,100,Turkmenistan,,271,72,26.57,1872,5,8,15,1,0,20,33
100,101,Jamaica,,259,37,14.29,1235,0,2,6,0,1,0,27
101,102,Panama,,252,33,13.1,1613,0,2,8,0,0,2,32
102,103,FIDE,,252,27,10.71,1585,2,4,14,0,0,1,36
103,104,Japan,,244,23,9.43,1803,0,3,9,0,1,2,38
104,105,Uganda,,243,32,13.17,1652,0,2,8,0,0,5,29
105,106,Albania,,234,17,7.26,1751,1,7,6,0,0,3,43
106,107,Kosovo,,232,6,2.59,1923,0,2,7,0,0,1,49
107,108,El Salvador,,230,45,19.57,1627,0,4,8,0,4,7,33
108,109,Nicaragua,,223,31,13.9,1619,0,3,16,0,1,2,32
109,110,Guatemala,,219,37,16.89,1588,0,2,11,0,4,1,33
110,111,Honduras,,219,31,14.16,1611,0,1,8,0,0,3,32
111,112,Malawi,,211,20,9.48,1627,0,0,2,0,0,1,32
112,113,Trinidad and Tobago,,205,32,15.61,1577,0,1,12,0,1,2,34
113,114,Lebanon,,191,19,9.95,1630,0,3,6,0,1,3,33
114,115,Sudan,,182,10,5.49,1716,0,1,6,0,0,0,41
115,116,Faroe Islands,,176,3,1.7,1698,1,2,7,0,0,0,44
116,117,Palestine,,164,18,10.98,1593,0,1,1,0,0,1,34
117,118,Saudi Arabia,,152,0,0,1591,0,0,1,0,0,0,37
